GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/Uk,Stoxx50,Property Prices Ger,Property Prices UK,VIX
763406.95,6.684261,92.5,3.89,1.4181,0.85714,1.2565,252.6954,100.29788388196711,100.19224119053668,38.98694285714286
768841.98,6.563529,92.6,3.77,1.3767,0.82771,1.2209,253.1897,100.31137314158018,100.35918071337989,32.39198636363636
771315.0599999999,6.473072,92.8,3.63,1.346,0.83566,1.277,255.1174,100.4955,101.7456,28.75113181818182
773788.14,6.411988,92.9,3.7,1.3413,0.82363,1.2894,258.8698,100.34598233267678,100.39876975259997,28.20326818181818
776261.22,6.362775,92.7,3.59,1.3089,0.83987,1.3067,264.6324,100.36590427534458,100.30367199260908,24.71488181818182
777957.8733333333,6.310286,92.8,3.55,1.3452,0.87638,1.3898,271.3305,100.5153,99.5844,23.017947619047618
779654.5266666667,6.239726,92.9,3.62,1.3442,0.8551,1.3661,272.2297,100.41259328702995,99.96508737374836,24.687927272727276
781351.18,6.13864,94.0,3.73,1.2811,0.84813,1.322,276.5097,100.43941192148205,99.75305633375137,21.653547619047618
786059.8733333334,6.008306,93.5,3.75,1.2779,0.84712,1.336,282.8104,100.2208,97.7556,22.089171428571426
790768.5666666667,5.867594,94.1,3.95,1.2974,0.84635,1.3649,292.2784,100.49601540355665,99.35285299407994,21.437585000000002
795477.26,5.743308,94.7,4.04,1.2867,0.86653,1.3999,281.9263,100.52859662029992,99.16263102451424,24.981178260869566
796196.1566666666,5.648152,94.9,4.13,1.2977,0.88291,1.4442,287.5142,99.9811,98.4206,20.22095263157895
796915.0533333333,5.575873,94.8,4.21,1.2537,0.87788,1.4349,284.0156,100.59821616553255,98.8351115783148,21.935695454545456
797633.95,5.519918,94.8,4.17,1.2092,0.88745,1.4388,272.8888,100.63505407557122,98.69814986826559,23.805563636363637
799071.75,5.472149,95.2,4.08,1.1766,0.88476,1.4264,270.4536,100.7473,99.7506,24.8857
800509.5499999999,5.421907,95.2,4.04,1.1203,0.87668,1.4343,226.872,100.71646705066856,98.46902270750988,40.81231739130435
801947.35,5.365774,95.3,3.84,1.2005,0.87172,1.377,212.5588,100.75868945253067,98.38561622615845,45.54927272727272
801918.5933333333,5.301535,95.4,3.65,1.2295,0.87036,1.3706,226.0823,100.4737,98.2544,39.37007142857143
801889.8366666667,5.235509,95.4,3.62,1.2307,0.8574,1.3556,219.1925,100.85175607143178,98.27470439515935,40.28689090909091
801861.08,5.182987,96.1,3.57,1.2276,0.84405,1.3179,222.172,100.90340848989175,98.24990210843725,33.260909523809524
802429.0066666666,5.144487,95.7,3.54,1.2108,0.8321,1.2905,233.4235,100.6459,97.2569,27.786472727272727
802996.9333333333,5.122851,96.5,3.49,1.2071,0.83696,1.3224,247.2429,101.0132702885623,98.26569401756213,24.935571428571432
803564.86,5.118118,96.9,3.35,1.2061,0.83448,1.3201,250.7313,101.07578431053014,98.30821261071392,22.432954545454546
803852.4266666666,5.118686,97.0,3.39,1.2023,0.82188,1.3162,235.0389,101.5315,99.0856,27.097952631578945
804139.9933333334,5.118347,96.8,3.26,1.2012,0.80371,1.2789,221.8887,101.21183146114289,98.46369673222542,31.27221818181818
804427.56,5.10436,96.6,3.12,1.2011,0.80579,1.2526,216.184,101.28570305862173,98.57645389233566,30.31832380952381
804973.9,5.071746,97.0,3.06,1.2011,0.78827,1.2288,226.4584,101.3629,100.0831,24.66534090909091
805520.24,5.028978,97.4,2.98,1.2011,0.78884,1.24,240.5407,101.4545491336534,98.88885293012602,24.22805652173913
806066.58,4.996522,97.4,2.93,1.2089,0.79821,1.2856,250.1206,101.54470565053427,99.07978519011134,22.60147
805261.4366666666,4.99022,97.4,2.89,1.2098,0.80665,1.2974,248.6878,101.7974,99.2519,21.844113043478263
804456.2933333333,5.007362,97.2,2.87,1.2052,0.80389,1.2828,248.7307,101.74661821972842,99.55145360144358,20.131804545454546
803651.15,5.032613,98.1,2.88,1.2091,0.81237,1.3119,259.6692,101.85943258151588,99.83543695055008,17.19394705882353
802170.1166666667,5.054203,97.5,2.8,1.2288,0.83271,1.3288,269.1386,102.2659,98.5869,16.0792
800689.0833333334,5.062997,98.2,2.82,1.2298,0.8625,1.3359,264.6837,102.0946374121629,100.46136571747577,19.901415
799208.05,5.044619,98.7,2.83,1.2266,0.85996,1.2964,270.7772,102.22961775996143,100.83460246235617,19.306195
802313.7966666667,5.008335,98.1,2.83,1.2199,0.85076,1.3026,265.9368,103.0375,100.5819,20.38142380952381
